institution,institution_type,part,status,avg_composite_score,max_composite_score,reported_count,partial_count,missing_count,total_categories,completeness_pct,missing_elements
ASR Nederland,insurer,Part A - Financed Emissions,PARTIAL,1.8,4,1,8,1,10,90.0,Project finance
ASR Nederland,insurer,Part C - Insurance Emissions,PARTIAL,2.0,5,1,2,1,4,75.0,Project insurance
AXA,insurer,Part A - Financed Emissions,PARTIAL,2.1,5,3,6,1,10,90.0,Project finance
AXA,insurer,Part C - Insurance Emissions,PARTIAL,2.0,4,1,2,1,4,75.0,Project insurance
Admiral Group,insurer,Part A - Financed Emissions,PARTIAL,0.7,2,0,4,6,10,40.0,Business loans and unlisted equity; Project finance; Commercial real estate; Mortgages
Admiral Group,insurer,Part C - Insurance Emissions,PARTIAL,1.5,3,0,3,1,4,75.0,Project insurance
Ageas,insurer,Part A - Financed Emissions,PARTIAL,0.4,3,1,1,8,10,20.0,Listed equity and corporate bonds; Business loans and unlisted equity; Project finance; Commercial real estate
Ageas,insurer,Part C - Insurance Emissions,PARTIAL,1.25,4,1,1,2,4,50.0,Personal motor; Project insurance
Allianz,insurer,Part A - Financed Emissions,REPORTED,2.7,3,6,4,0,10,100.0,None
Allianz,insurer,Part C - Insurance Emissions,PARTIAL,1.75,4,2,1,1,4,75.0,Project insurance
Amundi,asset_manager,Part A - Financed Emissions,PARTIAL,0.3,1,0,3,7,10,30.0,Listed equity and corporate bonds; Business loans and unlisted equity; Project finance; Commercial real estate
Aviva,insurer,Part A - Financed Emissions,PARTIAL,2.8,7,4,4,2,10,80.0,Business loans and unlisted equity; Motor vehicle loans
Aviva,insurer,Part C - Insurance Emissions,PARTIAL,0.25,1,0,1,3,4,25.0,Commercial lines; Personal motor; Project insurance
Commerzbank,bank,Part A - Financed Emissions,PARTIAL,2.0,3,3,7,0,10,100.0,None
Commerzbank,bank,Part B - Facilitated Emissions,PARTIAL,1.0,1,0,1,0,1,100.0,None
Crédit Agricole,bank,Part A - Financed Emissions,PARTIAL,0.7,3,1,4,5,10,50.0,Listed equity and corporate bonds; Project finance; Commercial real estate; Motor vehicle loans
Crédit Agricole,bank,Part B - Facilitated Emissions,PARTIAL,1.0,1,0,1,0,1,100.0,None
Deutsche Börse,other,Part A - Financed Emissions,PARTIAL,0.6,2,0,5,5,10,50.0,Business loans and unlisted equity; Project finance; Mortgages; Motor vehicle loans
Eurazeo,asset_manager,Part A - Financed Emissions,PARTIAL,0.1,1,0,1,9,10,10.0,Listed equity and corporate bonds; Business loans and unlisted equity; Project finance; Commercial real estate
GBL,other,Part A - Financed Emissions,PARTIAL,0.2,1,0,2,8,10,20.0,Listed equity and corporate bonds; Business loans and unlisted equity; Project finance; Commercial real estate
KBC,bancassurance,Part A - Financed Emissions,PARTIAL,1.6,2,0,10,0,10,100.0,None
KBC,bancassurance,Part B - Facilitated Emissions,REPORTED,4.0,4,1,0,0,1,100.0,None
KBC,bancassurance,Part C - Insurance Emissions,PARTIAL,1.75,3,1,2,1,4,75.0,Project insurance
Legal & General,insurer,Part A - Financed Emissions,PARTIAL,2.5,5,5,3,2,10,80.0,Motor vehicle loans; Sub-sovereign debt
Legal & General,insurer,Part C - Insurance Emissions,PARTIAL,0.75,2,0,2,2,4,50.0,Personal motor; Project insurance
NN Group,insurer,Part A - Financed Emissions,PARTIAL,2.2,5,2,7,1,10,90.0,Project finance
NN Group,insurer,Part C - Insurance Emissions,PARTIAL,0.75,2,0,2,2,4,50.0,Personal motor; Project insurance
Nordea,bank,Part A - Financed Emissions,PARTIAL,2.1,5,3,7,0,10,100.0,None
Nordea,bank,Part B - Facilitated Emissions,REPORTED,4.0,4,1,0,0,1,100.0,None
Phoenix Group,insurer,Part A - Financed Emissions,PARTIAL,1.1,3,0,8,2,10,80.0,Business loans and unlisted equity; Motor vehicle loans
Phoenix Group,insurer,Part C - Insurance Emissions,PARTIAL,0.5,1,0,2,2,4,50.0,Personal motor; Project insurance
Santander,bank,Part A - Financed Emissions,PARTIAL,2.6,5,4,6,0,10,100.0,None
Santander,bank,Part B - Facilitated Emissions,PARTIAL,2.0,2,0,1,0,1,100.0,None
Schroders,asset_manager,Part A - Financed Emissions,PARTIAL,1.1,4,1,6,3,10,70.0,Business loans and unlisted equity; Project finance; Motor vehicle loans
Société Générale,bank,Part A - Financed Emissions,PARTIAL,0.7,2,0,6,4,10,60.0,Listed equity and corporate bonds; Business loans and unlisted equity; Commercial real estate; Sovereign debt
Société Générale,bank,Part B - Facilitated Emissions,PARTIAL,2.0,2,0,1,0,1,100.0,None
Swiss Re,reinsurer,Part A - Financed Emissions,PARTIAL,1.1,3,0,6,4,10,60.0,Business loans and unlisted equity; Project finance; Commercial real estate; Motor vehicle loans
Swiss Re,reinsurer,Part C - Insurance Emissions,REPORTED,2.25,4,3,0,1,4,75.0,Project insurance
UniCredit,bank,Part A - Financed Emissions,PARTIAL,1.5,3,1,9,0,10,100.0,None
UniCredit,bank,Part B - Facilitated Emissions,PARTIAL,2.0,2,0,1,0,1,100.0,None
Zurich,insurer,Part A - Financed Emissions,PARTIAL,1.3,3,1,6,3,10,70.0,Business loans and unlisted equity; Project finance; Motor vehicle loans
Zurich,insurer,Part C - Insurance Emissions,PARTIAL,1.5,3,1,2,1,4,75.0,Project insurance
