company,assessment_date,pcaf_part,part_name,total_score,max_score,percentage,maturity_level
Admiral Group,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
Admiral Group,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
Ageas,2024-12-31,Part A,Financed Emissions,11,23,47.8,2
Ageas,2024-12-31,Part C,Insurance-Associated Emissions,7,13,53.8,3
Allianz,2024-12-31,Part A,Financed Emissions,13,23,56.5,3
Allianz,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
Amundi,2024-12-31,Part A,Financed Emissions,3,23,13.0,0
ASR Nederland,2024-12-31,Part A,Financed Emissions,10,23,43.5,2
ASR Nederland,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
Aviva,2024-12-31,Part A,Financed Emissions,13,23,56.5,3
Aviva,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
AXA,2024-12-31,Part A,Financed Emissions,9,23,39.1,2
AXA,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
Commerzbank,2024-12-31,Part A,Financed Emissions,15,23,65.2,3
Commerzbank,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
Crédit Agricole,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
Crédit Agricole,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
Deutsche Börse,2024-12-31,Part A,Financed Emissions,4,23,17.4,1
Eurazeo,2024-12-31,Part A,Financed Emissions,11,23,47.8,2
GBL,2024-12-31,Part A,Financed Emissions,7,23,30.4,1
KBC,2024-12-31,Part A,Financed Emissions,8,23,34.8,2
KBC,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
KBC,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
Legal & General,2024-12-31,Part A,Financed Emissions,10,23,43.5,2
Legal & General,2024-12-31,Part C,Insurance-Associated Emissions,0,13,0.0,0
NN Group,2024-12-31,Part A,Financed Emissions,13,23,56.5,3
NN Group,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
Nordea,2024-12-31,Part A,Financed Emissions,18,23,78.3,4
Nordea,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
Phoenix Group,2024-12-31,Part A,Financed Emissions,10,23,43.5,2
Phoenix Group,2024-12-31,Part C,Insurance-Associated Emissions,0,13,0.0,0
Santander,2024-12-31,Part A,Financed Emissions,16,23,69.6,4
Santander,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
Schroders,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
Société Générale,2024-12-31,Part A,Financed Emissions,6,23,26.1,1
Société Générale,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
Swiss Re,2024-12-31,Part A,Financed Emissions,8,23,34.8,2
Swiss Re,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
UniCredit,2024-12-31,Part A,Financed Emissions,7,23,30.4,1
UniCredit,2024-12-31,Part B,Facilitated Emissions,4,13,30.8,2
Zurich,2024-12-31,Part A,Financed Emissions,11,23,47.8,2
Zurich,2024-12-31,Part C,Insurance-Associated Emissions,5,13,38.5,2
ING,2024-12-31,Part A,Financed Emissions,16,23,69.6,4
ING,2024-12-31,Part B,Facilitated Emissions,5,13,38.5,2
Julius Baer,2024-12-31,Part A,Financed Emissions,7,23,30.4,1
Julius Baer,2024-12-31,Part B,Facilitated Emissions,0,13,0.0,0
